POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1303	Sandvika	1303 SANDVIKA	Postboksar			219	Bærum	Akershus	59.8918	10.5258	2	Koordinatane er retta av Erik Bolstad	2012-09-28 16:55:30
1304	Sandvika	1304 SANDVIKA	Fleire bruksområde			219	Bærum	Akershus	59.8894	10.5238	2	Koordinatane er retta av Erik Bolstad	2013-11-01 10:32:41
1305	Haslum	1305 HASLUM	Postboksar			219	Bærum	Akershus	59.91755	10.56092	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1306	Sandvika	1306 SANDVIKA	Postboksar			219	Bærum	Akershus	59.9102	10.542	5	Koordinatane er retta av ein yr.no-brukar	2013-09-17 10:27:17
1307	Fornebu	1307 FORNEBU	Postboksar			219	Bærum	Akershus	59.8936	10.626	6	Usikker plassering	2014-10-04 15:18:35
1308	Jar	1308 JAR	Postboksar			219	Bærum	Akershus	59.926	10.611	6	Usikker plassering	2016-09-23 20:08:58
1309	Rud	1309 RUD	Postboksar			219	Bærum	Akershus	59.9066	10.498	5	Koordinatane er retta av ein yr.no-brukar	0000-00-00 00:00:00
1311	Høvikodden	1311 HØVIKODDEN	Gate-/veg-adresse			219	Bærum	Akershus	59.8886	10.5534	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:02
1312	Slependen	1312 SLEPENDEN	Postboksar			219	Bærum	Akershus	59.8783	10.5047	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1313	Vøyenenga	1313 VØYENENGA	Postboksar			219	Bærum	Akershus	59.9081	10.4774	2	Koordinatane er retta av Erik Bolstad	2012-09-28 16:55:30
1314	Vøyenenga	1314 VØYENENGA	Postboksar			219	Bærum	Akershus	59.90841	10.47608	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1316	Eiksmarka	1316 EIKSMARKA	Postboksar			219	Bærum	Akershus	59.94680	10.62137	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:13
1317	Bærums Verk	1317 BÆRUMS VERK	Postboksar			219	Bærum	Akershus	59.94245	10.50119	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:52
1318	Bekkestua	1318 BEKKESTUA	Postboksar			219	Bærum	Akershus	59.91785	10.58744	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1319	Bekkestua	1319 BEKKESTUA	Postboksar			219	Bærum	Akershus	59.9179	10.5874	1	Koordinatane gjeld postkontoret	0000-00-00 00:00:00
1321	Stabekk	1321 STABEKK	Postboksar			219	Bærum	Akershus	59.90854	10.60544	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1322	Høvik	1322 HØVIK	Postboksar			219	Bærum	Akershus	59.8991	10.5795	2	Koordinatane er retta av Erik Bolstad	2012-09-28 16:55:30
1323	Høvik	1323 HØVIK	Postboksar			219	Bærum	Akershus	59.8991	10.5795	2	Koordinatane er retta av Erik Bolstad	2012-09-28 16:55:30
1324	Lysaker	1324 LYSAKER	Postboksar			219	Bærum	Akershus	59.91177	10.63642	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
1325	Lysaker	1325 LYSAKER	Postboksar			219	Bærum	Akershus	59.9176	10.6281	3	Koordinatane er kontrollerte av ein yr.no-brukar	0000-00-00 00:00:00
1326	Lysaker	1326 LYSAKER	Postboksar			219	Bærum	Akershus	59.9176	10.6281	3	Koordinatane er kontrollerte av ein yr.no-brukar	0000-00-00 00:00:00
1327	Lysaker	1327 LYSAKER	Postboksar			219	Bærum	Akershus	59.9176	10.6281	3	Koordinatane er kontrollerte av ein yr.no-brukar	0000-00-00 00:00:00
1328	Høvik	1328 HØVIK	Postboksar			219	Bærum	Akershus	59.89918	10.57952	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1329	Lommedalen	1329 LOMMEDALEN	Postboksar			219	Bærum	Akershus	59.95560	10.48049	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:48
1330	Fornebu	1330 FORNEBU	Postboksar			219	Bærum	Akershus	59.8936	10.626	3	Koordinatane er kontrollerte av ein yr.no-brukar	0000-00-00 00:00:00
1331	Fornebu	1331 FORNEBU	Postboksar			219	Bærum	Akershus	59.8997	10.6289	5	Koordinatane er retta av ein yr.no-brukar	2014-10-04 15:40:26
1332	Østerås	1332 ØSTERÅS	Postboksar			219	Bærum	Akershus	59.94371	10.60742	1	Koordinatane gjeld postkontoret	2011-10-11 09:57:17
1333	Kolsås	1333 KOLSÅS	Postboksar			219	Bærum	Akershus	59.91658	10.50076	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1334	Rykkinn	1334 RYKKINN	Postboksar			219	Bærum	Akershus	59.92418	10.48593	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:52
1335	Snarøya	1335 SNARØYA	Postboksar			219	Bærum	Akershus	59.88191	10.61071	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1336	Sandvika	1336 SANDVIKA	Gate-/veg-adresse	2479		219	Bærum	Akershus	59.8983	10.4905	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:02
1337	Sandvika	1337 SANDVIKA	Gate-/veg-adresse	3482		219	Bærum	Akershus	59.8928	10.5232	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:02
1338	Sandvika	1338 SANDVIKA	Gate-/veg-adresse	3209		219	Bærum	Akershus	59.893902	10.515664	2	Koordinatane er retta av Emil Müller	2013-09-19 22:30:32
1339	Vøyenenga	1339 VØYENENGA	Gate-/veg-adresse	3414		219	Bærum	Akershus	59.9082	10.4762	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:02
1340	Skui	1340 SKUI	Gate-/veg-adresse	1442		219	Bærum	Akershus	59.9255	10.4521	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:30:39
1341	Slependen	1341 SLEPENDEN	Gate-/veg-adresse	4980		219	Bærum	Akershus	59.8853	10.5029	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:40:30
1342	Gjettum	1342 GJETTUM	Postboksar			219	Bærum	Akershus	59.90869	10.53377	1	Koordinatane gjeld postkontoret	2011-10-11 09:55:51
1344	Haslum	1344 HASLUM	Gate-/veg-adresse	7563		219	Bærum	Akershus	59.9150	10.5607	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:02
1346	Gjettum	1346 GJETTUM	Gate-/veg-adresse	4929		219	Bærum	Akershus	59.9060	10.5215	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:02
1348	Rykkinn	1348 RYKKINN	Gate-/veg-adresse	5105		219	Bærum	Akershus	59.9273	10.4882	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:02
1349	Rykkinn	1349 RYKKINN	Gate-/veg-adresse	3374		219	Bærum	Akershus	59.9283	10.4729	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:02
1350	Lommedalen	1350 LOMMEDALEN	Gate-/veg-adresse	4845		219	Bærum	Akershus	59.9556	10.4805	1	Koordinatane gjeld postkontoret	2013-09-19 22:40:37
1351	Rud	1351 RUD	Gate-/veg-adresse	607		219	Bærum	Akershus	59.9084	10.4932	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:02
1352	Kolsås	1352 KOLSÅS	Gate-/veg-adresse	4697		219	Bærum	Akershus	59.9167	10.5005	5	Koordinatane er retta av ein yr.no-brukar	2013-09-19 22:40:45
1353	Bærums Verk	1353 BÆRUMS VERK	Gate-/veg-adresse	3586		219	Bærum	Akershus	59.9419	10.5004	5	Koordinatane er retta av ein yr.no-brukar	2013-09-19 22:41:13
1354	Bærums Verk	1354 BÆRUMS VERK	Gate-/veg-adresse	3024		219	Bærum	Akershus	59.9433	10.4959	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1356	Bekkestua	1356 BEKKESTUA	Gate-/veg-adresse	4575		219	Bærum	Akershus	59.9185	10.5787	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1357	Bekkestua	1357 BEKKESTUA	Gate-/veg-adresse	4381		219	Bærum	Akershus	59.923051	10.590488	2	Koordinatane er retta av Emil Müller	2013-09-19 22:41:26
1358	Jar	1358 JAR	Gate-/veg-adresse	8235		219	Bærum	Akershus	59.927442	10.614734	2	Koordinatane er retta av Emil Müller	2013-09-19 22:41:43
1359	Eiksmarka	1359 EIKSMARKA	Gate-/veg-adresse	5384		219	Bærum	Akershus	59.9467	10.6224	5	Koordinatane er retta av ein yr.no-brukar	2013-09-17 14:08:03
1360	Fornebu	1360 FORNEBU	Gate-/veg-adresse			219	Bærum	Akershus	59.8998	10.6291	3	Koordinatane er kontrollerte av ein yr.no-brukar	2013-09-17 14:08:03
1361	Østerås	1361 ØSTERÅS	Gate-/veg-adresse	3206		219	Bærum	Akershus	 59.9419	10.6076	2	Koordinatane er retta av Erik Bolstad	2013-09-17 14:08:03
1362	Hosle	1362 HOSLE	Gate-/veg-adresse	6174		219	Bærum	Akershus	59.935514	10.592207	2	Koordinatane er retta av Emil Müller	2013-09-19 22:42:10
1363	Høvik	1363 HØVIK	Gate-/veg-adresse	7113		219	Bærum	Akershus	59.899665	10.572412	2	Koordinatane er retta av Emil Müller	2013-09-19 22:42:23
1364	Fornebu	1364 FORNEBU	Gate-/veg-adresse	428		219	Bærum	Akershus	59.8949	10.6258	5	Koordinatane er retta av ein yr.no-brukar	2013-09-19 22:42:38
1365	Blommenholm	1365 BLOMMENHOLM	Gate-/veg-adresse	3244		219	Bærum	Akershus	59.8971	10.5549	5	Koordinatane er retta av ein yr.no-brukar	2013-09-19 22:42:44
1366	Lysaker	1366 LYSAKER	Gate-/veg-adresse	2050		219	Bærum	Akershus	59.9129	10.6404	2	Koordinatane er retta av Erik Bolstad	2013-09-19 22:42:57
1367	Snarøya	1367 SNARØYA	Gate-/veg-adresse	3349		219	Bærum	Akershus	59.880069	10.610706	2	Koordinatane er retta av Emil Müller	2013-09-19 22:43:12
